weapon_type,firearm_caliber,weapon_description,trr_report_id
Hands/Fists,,,96454
Feet,,,96477
Hands/Fists,,,96477
Other (Specify),,SHOVED,96477
Verbal Threat (Assault),,,96477
Hands/Fists,,,96478
Feet,,,96479
Hands/Fists,,,96479
Verbal Threat (Assault),,,96479
Hands/Fists,,,96480
Feet,,,96489
Hands/Fists,,,96492
Feet,,,96496
Hands/Fists,,,96496
"Mouth (Spit,Bite,Etc)",,,96498
"Mouth (Spit,Bite,Etc)",,,96499
Other (Specify),,OBTAINED TASER,96500
Other (Specify),,TASER,96500
Other (Specify),,TASER,96501
Other (Specify),,TAZER,96502
Verbal Threat (Assault),,,96502
Hands/Fists,,,96504
Firearm - Semi-Automatic, 9 MM,,96506
Other (Specify),,HEAD BUTT,96509
"Mouth (Spit,Bite,Etc)",,,96510
Other (Specify),,HEAD BUTT,96510
Verbal Threat (Assault),,,96510
Hands/Fists,,,96512
Verbal Threat (Assault),,,96512
Hands/Fists,,,96514
Verbal Threat (Assault),,,96514
Feet,,,96522
"Mouth (Spit,Bite,Etc)",,,96522
Hands/Fists,,,96523
Other (Specify),,MADE AN AGRESSIVE ADVANCE AT PO,96524
Verbal Threat (Assault),,,96524
Knife/Other Cutting Instrument,,FORK,96530
Feet,,,96531
Hands/Fists,,,96531
Feet,,,96532
Hands/Fists,,,96532
Other (Specify),,FORK,96532
Other (Specify),,METAL 3 PRONG FORK,96533
Firearm - Semi-Automatic, 9 MM,,96537
"Mouth (Spit,Bite,Etc)",,,96540
Firearm - Revolver,357 MAG,1 BLUE STEEL 4 INCH BARREL RUGER SECURITY SIX .357 MAGNUM,96546
Hands/Fists,,,96548
Verbal Threat (Assault),,,96548
"Mouth (Spit,Bite,Etc)",,,96549
Feet,,,96558
Hands/Fists,,,96558
"Mouth (Spit,Bite,Etc)",,,96558
Verbal Threat (Assault),,,96558
Feet,,,96561
Hands/Fists,,,96561
"Mouth (Spit,Bite,Etc)",,,96561
Verbal Threat (Assault),,,96561
Hands/Fists,,,96564
Verbal Threat (Assault),,,96573
Hands/Fists,,,96574
Verbal Threat (Assault),,,96574
Feet,,,96576
Hands/Fists,,,96576
Feet,,,96577
Hands/Fists,,,96577
Other (Specify),,RAISED GLASS BOTTLE,96578
Other (Specify),,GLASS BOTTLE AND TABLET,96579
Hands/Fists,,,96580
Other (Specify),,GLASS BOTTLE AND TABLET,96580
Hands/Fists,,,96581
Other (Specify),,GLASS BOTTLE,96581
Other (Specify),,RAISED GLASS BOTTLE,96581
Hands/Fists,,,96585
"Mouth (Spit,Bite,Etc)",,,96586
Other (Specify),,HEADBUTT,96586
Verbal Threat (Assault),,,96586
Hands/Fists,,,96588
Vehicle - Attempted To Strike Officer With Vehicle,,,96589
Hands/Fists,,,96590
Firearm - Semi-Automatic,UNKNOWN,,96592
Hands/Fists,,,96594
Knife/Other Cutting Instrument,,,96595
Knife/Other Cutting Instrument,,,96596
Other (Specify),,KNIFE,96596
Feet,,,96602
Hands/Fists,,,96602
Other (Specify),,GARDEN TOOL BLACK HANDLE WITH THREE SHARP BLADES ,96608
Other (Specify),,ATTEMPTED TO ACCELERATE CAR,96612
Other (Specify),,ATTEMPTED TO ACCELERATE CAR,96613
Other (Specify),,ATTEMPTED TO ACCELERATE CAR,96614
Other (Specify),,ATTEMPTED TO ACCELERATE CAR,96615
Firearm - Semi-Automatic, 45 ACP,GLOCK,96620
"Mouth (Spit,Bite,Etc)",,,96623
"Mouth (Spit,Bite,Etc)",,,96624
Firearm - Semi-Automatic, 9 MM,,96625
Feet,,,96626
Firearm - Semi-Automatic, 9 MM,,96626
Hands/Fists,,,96632
"Mouth (Spit,Bite,Etc)",,,96632
