weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96453
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,96465
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96475
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96483
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96525
Chemical Weapon,,,,,,,,,,,,,,,,,96558
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96565
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,96576
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96576
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96591
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96596
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96608
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96618
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96634
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96644
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96656
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96673
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96687
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96692
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96722
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96727
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96729
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96740
Chemical Weapon,,,,,,,,,,,,,,,,,96759
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96759
Chemical Weapon,,,,,,,,,,,,,,,,,96760
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96772
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96773
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96785
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96794
Chemical Weapon,,,,,,,,,,,,,,,,,96806
Other (Specify),,,,,,,,,,,,,,,,,96806
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96830
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96846
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4, 9 MM,3.0,False,3.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,PERSON,STANDING,96849
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96857
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96861
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96881
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96882
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96889
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96894
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4.6,45 CAL,5.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,WOODEN FENCE,05-10FT,PERSON,OTHER (SPECIFY),96895
Semi-Auto Pistol,"GLOCK, INC.--AU--",,30,4,45 CAL,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DISTANCE,0-5FT,UNKNOWN,STANDING,96919
Chemical Weapon,,,,,,,,,,,,,,,,,96934
Chemical Weapon,,,,,,,,,,,,,,,,,96935
Chemical Weapon,,,,,,,,,,,,,,,,,96936
Rifle,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,M&P 4,16,223/5.56,4.0,False,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,true,NOT COVERED,OVER 15FT,UNKNOWN,STANDING,96944
Rifle,GWINN FIREARMS  --US--  (BUSHMASTER),,XM15,14.5,223/5.56,10.0,False,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,true,NOT COVERED,OVER 15FT,UNKNOWN,STANDING,96948
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96954
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96955
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96962
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96977
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96980
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96981
Taser (Probe Discharge),,,,,,,,,,,,,,,,,96988
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97005
Chemical Weapon,,,,,,,,,,,,,,,,,97023
Other (Specify),,,,,,,,,,,,,,,,,97035
Chemical Weapon,,,,,,,,,,,,,,,,,97047
Chemical Weapon,,,,,,,,,,,,,,,,,97048
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,N/A,false,DUTY HOLSTER,10-15FT,OBJECT,STANDING,97082
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97143
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97155
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97171
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97172
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97178
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97187
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97188
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97193
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97218
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97228
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,97268
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97279
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97280
Chemical Weapon,,,,,,,,,,,,,,,,,97289
Chemical Weapon,,,,,,,,,,,,,,,,,97298
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97300
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97308
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97309
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97310
Other (Specify),,,,,,,,,,,,,,,,,97311
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97311
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97329
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97335
Other (Specify),,,,,,,,,,,,,,,,,97338
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97339
Chemical Weapon,,,,,,,,,,,,,,,,,97348
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97355
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97358
Semi-Auto Pistol,"F.I. INDUSTRIES(FORMERLY) --US-- (BERETTA USA CORP,BRONCO)",,PX4 STORM,4, 9 MM,12.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,DEPARTMENT VEHICLE,OVER 15FT,BOTH,STANDING,97371
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97372
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97378
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97390
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97402
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4 INCH, 9 MM,1.0,False,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,false,NONE,05-10FT,PERSON,STANDING,97444
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97455
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97512
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,97517
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97517
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97521
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97568
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97582
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97590
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97603
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97632
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97634
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97640
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97647
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97660
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97665
